model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
Explainable Boosting Machine,4,9811,2532,0.258077667923759,1.18580113183759,0.6351629823904084,0.4000020385905185,0.24484060841043953,0.28786957440236716,0.2654648035706782
Explainable Boosting Machine,5,9811,2173,0.2214860870451534,1.0176721403961626,0.7369333083551892,0.5000050964762963,0.2088800806085852,0.24483248802151558,0.2264867622353764
Explainable Boosting Machine,6,9810,1828,0.18634046890927625,0.8561869793594213,0.8225458973398276,0.5999979614094815,0.17628418251801,0.20887987741148992,0.19232876945450575
Explainable Boosting Machine,7,9811,1416,0.14432779533177045,0.6631494481366618,0.8888628699887599,0.7000010192952593,0.14460300500971107,0.17628288201951736,0.16040528279231203
Explainable Boosting Machine,8,9810,1138,0.11600407747196738,0.5330091808047164,0.9421599850131135,0.7999938842284444,0.11113539217953448,0.1446027496847206,0.1279697069987014
Explainable Boosting Machine,9,9811,853,0.08694322699011314,0.39948197687893544,0.9821094042712627,0.8999969421142222,0.07311773426715892,0.11112527883390039,0.09248174329571325
Explainable Boosting Machine,10,9811,382,0.03893588828865559,0.1789004867148339,1.0,1.0,0.005911857492780295,0.07311440358948251,0.04877250102375229
Random Forest,1,9811,4402,0.44868005300173275,2.061570530153662,0.20616335706257025,0.10000305788577778,0.4249607081450886,0.7246520407744002,0.503854016679989
Random Forest,2,9811,3497,0.3564366527367241,1.6377356074391995,0.369941925814912,0.20000611577155555,0.34798482700916716,0.4249333038593161,0.3826718128941235
Random Forest,3,9810,2981,0.30387359836901123,1.3962217644805444,0.5095541401273885,0.29999898070474074,0.29818227210471343,0.34798034156362667,0.3219135244770297
Random Forest,4,9811,2520,0.25685455101416776,1.1801812212601608,0.6275758711127764,0.4000020385905185,0.2580054485765873,0.29817904667470035,0.2777243298473048
Random Forest,5,9811,2187,0.22291305677300988,1.0242287027364967,0.7300018733608092,0.5000050964762963,0.21850538619503124,0.2580053522343229,0.23838661729313754
Random Forest,6,9810,1781,0.18154943934760448,0.8341734191680138,0.8134132633945298,0.5999979614094815,0.17940303365447777,0.2185019837498202,0.19860702676901393
Random Forest,7,9811,1559,0.15890327183773315,0.7301200491843614,0.8864275009366804,0.7000010192952593,0.14673295878952927,0.17940229556408413,0.16257944312222322
Random Forest,8,9810,1185,0.12079510703363915,0.5550227409961238,0.941925814911952,0.7999938842284444,0.1153342594477499,0.1467328588908021,0.13172005818751778
Random Forest,9,9811,840,0.08561818367138925,0.3933937404200536,0.9812663919070813,0.8999969421142222,0.06740607287157233,0.11533353852267544,0.0922415613705696
Random Forest,10,9811,400,0.040770563653042505,0.18733035258097794,1.0,1.0,0.013242933319380474,0.06740178818097863,0.04613922286533643
Linear SVM,1,9811,4525,0.46121700132504334,2.119174613572313,0.21192394155114275,0.10000305788577778,0.43691585206725486,0.8121772566176754,0.5263170762407892
Linear SVM,2,9811,3509,0.35765976964631535,1.6433555180166288,0.376264518546272,0.20000611577155555,0.3484557009146917,0.43690882189281705,0.38796128328983737
Linear SVM,3,9810,2878,0.2933741080530071,1.3479792815078853,0.511052828774822,0.29999898070474074,0.2910328490939102,0.3484534886944116,0.3184523001847396
Linear SVM,4,9811,2577,0.26266435633472635,1.2068757965029504,0.6317440989134507,0.4000020385905185,0.2468431521362187,0.29102042689294655,0.2684228248821303
Linear SVM,5,9811,2176,0.2217918662725512,1.0190771180405198,0.7336549269389284,0.5000050964762963,0.20797079520197756,0.2468431015046713,0.227185863384324
Linear SVM,6,9810,1782,0.181651376146789,0.8346417927891077,0.8171131509928812,0.5999979614094815,0.17334788676763568,0.20797022415050068,0.19055143929920776
Linear SVM,7,9811,1460,0.14881255733360513,0.6837557869205694,0.8854908205320344,0.7000010192952593,0.14119432878320856,0.17334402837631757,0.15726783727442692
Linear SVM,8,9810,1158,0.1180428134556575,0.5423766532265919,0.9397246159610341,0.7999938842284444,0.10849962082963863,0.14118856565279236,0.12499393098239452
Linear SVM,9,9811,875,0.08918560799103048,0.40978514627088924,0.9807043836642937,0.8999969421142222,0.07475131523374598,0.1084951551357439,0.09174906269955654
Linear SVM,10,9811,412,0.04199368056263378,0.19295026315840727,1.0,1.0,0.01343651829826917,0.074750312826234,0.05494233628297231
MLP Neural Network,1,9811,4664,0.4753847721944756,2.1842719110942026,0.218433870363432,0.10000305788577778,0.4406192291493168,0.7689037401988251,0.5275298443989823
MLP Neural Network,2,9811,3542,0.36102334114769136,1.6588102721045594,0.38431997002622703,0.20000611577155555,0.34771852378119356,0.4406172976466027,0.38955446231406554
