model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
LightGBM,1,6541,184,0.03672137662720223,0.028130255312643328,0.006522690941215482,0.05401453390810063,0.024391788392151257,0.03242266529913441
LightGBM,2,6540,411,0.06858503374675128,0.06284403669724771,0.05401464487703671,0.08248406173978452,0.05721506937177382,0.06898627388812416
LightGBM,3,6541,624,0.0954452412820754,0.09539825714722519,0.08248492295223987,0.10832354876938512,0.08851464472401037,0.10275684456612001
LightGBM,4,6540,739,0.12025153825640542,0.11299694189602447,0.10832541418722644,0.13189182869749694,0.10555006011819826,0.12089820843402341
LightGBM,5,6540,851,0.14339157756029355,0.13012232415902142,0.1318932228983384,0.15464227136107492,0.12218493731957923,0.13849398864953344
LightGBM,6,6541,977,0.16621921594246605,0.149365540437242,0.15465294365203552,0.1776372622575057,0.1409330865512898,0.15820961538973197
LightGBM,7,6540,1126,0.18948466115792545,0.17217125382262996,0.17763874425121753,0.201372190983029,0.16321443942687033,0.18151297573550149
LightGBM,8,6541,1343,0.21353261335573182,0.20532028741782601,0.20137432546509082,0.22560572814905727,0.1957054266387057,0.21528108218680966
LightGBM,9,6540,1478,0.2382532333851126,0.22599388379204893,0.22560594837075434,0.2510128976422953,0.21601994655641096,0.23628953477333267
LightGBM,10,6540,1657,0.2648572547166162,0.2533639143730887,0.25101555868402425,0.2791632615086083,0.24296950613903415,0.2640479008837764
LightGBM,11,6541,1866,0.29492246155360546,0.2852774805075676,0.2791746721786566,0.31125959952874316,0.2744629995055341,0.29634403117951713
LightGBM,12,6540,2005,0.3303141494272924,0.3065749235474006,0.31127160407774884,0.3513621875820309,0.2955164935127279,0.31786045619827974
LightGBM,13,6541,2271,0.37693040612823225,0.34719461855985323,0.35136407407303993,0.4060360886900355,0.33574983101796435,0.35881878925238714
LightGBM,14,6540,2636,0.4432554766080028,0.40305810397553515,0.4060369170928517,0.48688201104532053,0.39123014195449846,0.4149998865963147
LightGBM,15,6541,3184,0.5616711353522265,0.4867757223666106,0.48690469834753686,0.7473225595557937,0.4746740283450804,0.498892940792874
CatBoost,1,6541,192,0.04328792114482947,0.029353309891453905,0.013630398519687953,0.05924542160358666,0.025530786471289375,0.03372834059452074
CatBoost,2,6540,451,0.07289460427865851,0.06896024464831804,0.05924635391082189,0.08653273147507091,0.06306871511388054,0.07535786293776423
CatBoost,3,6541,604,0.09996754995510618,0.09234062070019874,0.08653426268600001,0.11290261102796006,0.08556184541279573,0.09959796044102355
CatBoost,4,6540,760,0.12490061813409148,0.1162079510703364,0.11290453099856798,0.13643874960371516,0.10866514783117166,0.12420136898671706
CatBoost,5,6540,904,0.1475093494638978,0.1382262996941896,0.13644451588311848,0.15867455414269246,0.13007357097520167,0.14680379109297548
CatBoost,6,6541,1019,0.16990627378347448,0.15578657697599754,0.15867616015911418,0.18138802906277038,0.14720016544528955,0.16477707171198555
CatBoost,7,6540,1129,0.19264027865163125,0.17262996941896025,0.18139009641833015,0.20418695390877736,0.1636632541848925,0.18198105358686037
CatBoost,8,6541,1324,0.2160585155964163,0.2024155327931509,0.20418868178362187,0.22810849382843612,0.19285406800482674,0.212326341556193
CatBoost,9,6540,1489,0.24080596759834946,0.22767584097859328,0.22810923068462427,0.25371644386589354,0.21767435311261749,0.2379970677848565
CatBoost,10,6540,1674,0.2673683564735742,0.25596330275229356,0.25371719008474547,0.28134731418446834,0.24553192636152626,0.26668120544777657
CatBoost,11,6541,1837,0.2967892849627376,0.2808439076593793,0.2813554594217284,0.3131543934610596,0.27008372294321387,0.2918613667591862
