model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
XGBoost,14,6540,2557,0.7093940285276564,0.39097859327217127,0.6782175302505493,0.7435224056243896,0.37921929206513116,0.40286589777198223
XGBoost,15,6541,3126,0.7932425012666504,0.4779085766702339,0.743529736995697,0.9057290554046631,0.46581967473006797,0.4900234124425841
LightGBM,1,6541,184,0.0944486886596661,0.028130255312643328,0.01626396466487421,0.1378924339577965,0.024391788392151257,0.03242266529913441
LightGBM,2,6540,411,0.17256277083865626,0.06284403669724771,0.13789270484703275,0.20478744367256138,0.05721506937177382,0.06898627388812416
LightGBM,3,6541,624,0.23334168958627063,0.09539825714722519,0.2047893881202299,0.2610108961433313,0.08851464472401037,0.10275684456612001
LightGBM,4,6540,739,0.28543788810971005,0.11299694189602447,0.2610148047775698,0.3087312789438284,0.10555006011819826,0.12089820843402341
LightGBM,5,6540,851,0.33072863811551007,0.13012232415902142,0.3087340056845944,0.35178065795186936,0.12218493731957923,0.13849398864953344
LightGBM,6,6541,977,0.3725080982702666,0.149365540437242,0.3518001905364374,0.3924974539369555,0.1409330865512898,0.15820961538973197
LightGBM,7,6540,1126,0.41233864070268794,0.17217125382262996,0.39249999208225833,0.4318007533673557,0.16321443942687033,0.18151297573550149
LightGBM,8,6541,1343,0.4508317741369565,0.20532028741782601,0.43180417013084393,0.4693025778241863,0.1957054266387057,0.21528108218680966
LightGBM,9,6540,1478,0.48778804504281353,0.22599388379204893,0.4693029072299759,0.5060073899971641,0.21601994655641096,0.23628953477333267
LightGBM,10,6540,1657,0.5248431496332773,0.2533639143730887,0.5060111022764562,0.5438261169121759,0.24296950613903415,0.2640479008837764
LightGBM,11,6541,1866,0.5636541211043151,0.2852774805075676,0.5438408768140315,0.5836412278128396,0.2744629995055341,0.29634403117951713
LightGBM,12,6540,2005,0.6055668670987139,0.3065749235474006,0.5836555055073289,0.628980233108593,0.2955164935127279,0.31786045619827974
LightGBM,13,6541,2271,0.655299114376543,0.34719461855985323,0.6289822599234137,0.6839505650435254,0.33574983101796435,0.35881878925238714
LightGBM,14,6540,2636,0.7169255203279491,0.40305810397553515,0.6839513441194202,0.75325192936477,0.39123014195449846,0.4149998865963147
LightGBM,15,6541,3184,0.8050786056084678,0.4867757223666106,0.753269638954482,0.9096116549647696,0.4746740283450804,0.498892940792874
CatBoost,1,6541,192,0.12149107759179126,0.029353309891453905,0.04068726171231359,0.16208284420025318,0.025530786471289375,0.03372834059452074
CatBoost,2,6540,451,0.19428470035141604,0.06896024464831804,0.16208511710688084,0.22542285269090226,0.06306871511388054,0.07535786293776423
CatBoost,3,6541,604,0.25422000082772783,0.09234062070019874,0.22542623676108012,0.28112328824192295,0.08556184541279573,0.09959796044102355
CatBoost,4,6540,760,0.30471983527298,0.1162079510703364,0.28112716425668677,0.326831991059879,0.10866514783117166,0.12420136898671706
CatBoost,5,6540,904,0.3470331283982879,0.1382262996941896,0.3268427637725965,0.36693352421517567,0.13007357097520167,0.14680379109297548
CatBoost,6,6541,1019,0.38603894874351086,0.15578657697599754,0.36693632017277317,0.4051232699396789,0.14720016544528955,0.16477707171198555
CatBoost,7,6540,1129,0.42298825329990725,0.17262996941896025,0.4051266269878322,0.4409157412041784,0.1636632541848925,0.18198105358686037
CatBoost,8,6541,1324,0.4585287058566607,0.2024155327931509,0.44091836373923643,0.47600086324597235,0.19285406800482674,0.212326341556193
CatBoost,9,6540,1489,0.4935771686963876,0.22767584097859328,0.47600190757937083,0.5110316413454355,0.21767435311261749,0.2379970677848565
CatBoost,10,6540,1674,0.5286210450677614,0.25596330275229356,0.5110326266219383,0.54619391230308,0.24553192636152626,0.26668120544777657
CatBoost,11,6541,1837,0.5646320162378263,0.2808439076593793,0.5462039024239164,0.5836451019380113,0.27008372294321387,0.2918613667591862
CatBoost,12,6540,1993,0.603604839921121,0.3047400611620795,0.5836470338959958,0.6245789964980439,0.29370145089588817,0.3160079283775954
CatBoost,13,6541,2267,0.6485348774739054,0.34658309127044795,0.6245808987192809,0.6751218964445532,0.3351434255840209,0.3582028579990685
CatBoost,14,6540,2572,0.70621818428479,0.39327217125382263,0.6751237705813079,0.7404518305906901,0.38149925222050696,0.4051704006635114
CatBoost,15,6541,3137,0.7925151345504888,0.47959027671609844,0.740457282460863,0.9183470570596134,0.4674986554924344,0.4917058575701888
Explainable Boosting Machine,1,6541,197,0.026180337546031072,0.03011771900321052,0.003424317362233782,0.03879476160806424,0.02624361741813039,0.03454343050675752
