model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Linear SVM,7,6667,992,0.46344957102256235,0.1487925603719814,0.4547889065242843,0.47204844682154556,0.1404521003583214,0.15753752661768117
Linear SVM,8,6666,1179,0.4803985962380337,0.17686768676867687,0.4720489770513839,0.4889715888949318,0.16789482083345536,0.18621277896321747
Linear SVM,9,6667,1359,0.4973916091925731,0.20383980800959953,0.4889725456450699,0.505907317684088,0.1943414384375327,0.21367928266608338
Linear SVM,10,6666,1446,0.5143617120686312,0.21692169216921692,0.5059123832583484,0.5229121130871817,0.20719211407575247,0.22697735705531605
Linear SVM,11,6667,1671,0.5318389718684475,0.25063746812659365,0.522914269678452,0.5409192085251466,0.24038004589623432,0.26118209582813223
Linear SVM,12,6667,1879,0.5505796093540194,0.28183590820458976,0.5409224310175608,0.5609662837000368,0.2711644930557826,0.29275859574908425
Linear SVM,13,6666,2181,0.5723368136840091,0.32718271827182716,0.5609772153088766,0.5848072540722284,0.3160217200658652,0.33854279013179817
Linear SVM,14,6667,2537,0.6001230245781523,0.3805309734513274,0.5848095647794253,0.6178636640428413,0.3689483726398723,0.3922511737561926
Linear SVM,15,6667,3320,0.6485236205983336,0.49797510124493777,0.6178705454139117,0.7784648607442572,0.4859776223997721,0.509974912284907
MLP Neural Network,1,6667,158,0.028889972121414684,0.02369881505924704,0.0053068161942064745,0.04195358231663704,0.020312579625000483,0.02763363453784218
MLP Neural Network,2,6667,380,0.05385437513557317,0.056997150142492875,0.04195427522063255,0.06547301262617111,0.051682910746103566,0.06282162193535
MLP Neural Network,3,6666,474,0.07654440766683827,0.0711071107110711,0.06549435853958128,0.0871529206633568,0.06518128891554238,0.07752698769480469
MLP Neural Network,4,6667,663,0.09742815642140876,0.09944502774861257,0.08715934306383134,0.10732070356607437,0.09249054100108647,0.10686085717931704
MLP Neural Network,5,6666,737,0.11732190581719831,0.11056105610561057,0.10732430964708328,0.1275582015514374,0.10325613456999702,0.1183145845907099
MLP Neural Network,6,6667,901,0.13830866097277458,0.1351432428378581,0.1275672912597656,0.14881989359855652,0.12714648928663583,0.14356022334164784
