model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
Linear SVM,8,10000,1008,0.1008,0.5044792552925279,0.9447975576797958,0.8,0.08618126369902543,0.11315434447057947,0.09970789461760815
Linear SVM,9,10000,722,0.0722,0.3613432761123067,0.9809318852910265,0.9,0.059144054366467295,0.08617679249875702,0.07272758821323731
Linear SVM,10,10000,381,0.0381,0.19068114708973527,1.0,1.0,0.009536046720697891,0.05914042194938153,0.04312798701280618
MLP Neural Network,1,10000,4823,0.4823,2.4137931034482762,0.2413793103448276,0.1,0.3900410153663086,0.7910034391387579,0.4779993957029622
MLP Neural Network,2,10000,3347,0.3347,1.6750913367699316,0.40888844402182073,0.2,0.3024189319355664,0.3900352660334204,0.3419928993919603
MLP Neural Network,3,10000,2790,0.279,1.3963265101846756,0.5485210950402882,0.3,0.24774151337200356,0.3024129973980335,0.27344996991287573
MLP Neural Network,4,10000,2264,0.2264,1.1330764226014713,0.6618287373004355,0.4,0.20668899161200832,0.24774066305039646,0.22656869885312275
MLP Neural Network,5,10000,1900,0.19,0.9509033581902808,0.7569190731194635,0.5,0.17230857583219208,0.2066880460021583,0.1890178268126381
MLP Neural Network,6,10000,1544,0.1544,0.772734097392523,0.8341924828587158,0.6,0.1411039241221514,0.1723042126625496,0.15658277379117688
MLP Neural Network,7,10000,1294,0.1294,0.647615234472749,0.8989540063059906,0.7,0.11145974890640697,0.14110139511342107,0.12619714788542
MLP Neural Network,8,10000,1007,0.1007,0.5039787798408488,0.9493518842900756,0.8,0.08299358682944136,0.11145641451718893,0.09732352437685435
MLP Neural Network,9,10000,697,0.0697,0.34883138982032935,0.9842350232721085,0.9,0.05166465837067157,0.08298753241188504,0.06769703105395239
MLP Neural Network,10,10000,315,0.0315,0.15764976727891497,1.0,1.0,0.0052450558557399826,0.05166122681760292,0.0338997217795454
Modified FT-Transformer-style,1,10000,4749,0.4749,2.3767579200240228,0.23767579200240227,0.1,0.37092587265227944,0.8579884481988653,0.4733226061229718
Modified FT-Transformer-style,2,10000,3438,0.3438,1.720634602872729,0.40973925228967517,0.2,0.29557810128499196,0.3709212241559744,0.32915590600643235
Modified FT-Transformer-style,3,10000,2774,0.2774,1.3883189029578098,0.5485711425854561,0.3,0.24829366638914965,0.29557579714497534,0.2708483258949329
Modified FT-Transformer-style,4,10000,2190,0.219,1.0960412391772185,0.658175266503178,0.4,0.21026824910078093,0.24829081703760608,0.22887580144028585
Modified FT-Transformer-style,5,10000,1942,0.1942,0.9719233271608029,0.7553675992192583,0.5,0.17717364252149187,0.21026808928706694,0.1933807503030017
